order,feature,cell_type,gene,age_pearson,abs_corr,modality,source_mode,required_from_model
195,CD8_CTL__HSP90AB1,CD8_CTL,HSP90AB1,-0.3665338186792256,0.3665338186792256,RNA,model_prediction,True
196,cMono__SRSF2,cMono,SRSF2,-0.3660155668219251,0.3660155668219251,RNA,model_prediction,True
197,CD4_Naïve__CBX3,CD4_Naïve,CBX3,-0.3660050488124527,0.3660050488124527,RNA,model_prediction,True
198,CD4_Tcm__EEF1B2,CD4_Tcm,EEF1B2,-0.3658956163958208,0.3658956163958208,RNA,model_prediction,True
199,CD4_Tcm__MAZ,CD4_Tcm,MAZ,0.3653033017318352,0.3653033017318352,RNA,model_prediction,True
200,immature_T__RORA,immature_T,RORA,0.3651567811813029,0.3651567811813029,RNA,model_prediction,True
201,CD4_Naïve__CD84,CD4_Naïve,CD84,0.365029166874041,0.365029166874041,RNA,model_prediction,True
202,CD8_CTL__NOP53,CD8_CTL,NOP53,-0.3649408635546698,0.3649408635546698,RNA,model_prediction,True
203,CD8_CTL__RERE,CD8_CTL,RERE,-0.364659200047539,0.364659200047539,RNA,model_prediction,True
204,Swit.Bm__PIK3IP1,Swit.Bm,PIK3IP1,-0.3644410402661215,0.3644410402661215,RNA,model_prediction,True
205,CD4_Tcm__TSC22D3,CD4_Tcm,TSC22D3,-0.3642036548184348,0.3642036548184348,RNA,model_prediction,True
206,CD8_CTL__NLRP1,CD8_CTL,NLRP1,-0.363934558640777,0.363934558640777,RNA,model_prediction,True
207,CD4_Naïve__ATP5MG,CD4_Naïve,ATP5MG,-0.3638744158872961,0.3638744158872961,RNA,model_prediction,True
208,CD8_CTL__CHCHD10,CD8_CTL,CHCHD10,-0.3638137628530857,0.3638137628530857,RNA,model_prediction,True
209,CD8_CTL__MFAP1,CD8_CTL,MFAP1,0.3635496758510168,0.3635496758510168,RNA,model_prediction,True
210,CD8_Tem__NEIL1,CD8_Tem,NEIL1,-0.3634843270108482,0.3634843270108482,RNA,model_prediction,True
211,cMono__TCF7,cMono,TCF7,-0.3634631223258223,0.3634631223258223,RNA,model_prediction,True
212,cMono__SERPINA1,cMono,SERPINA1,0.3627930075124438,0.3627930075124438,RNA,model_prediction,True
213,Prolif.T__RGS10,Prolif.T,RGS10,-0.3627247183154817,0.3627247183154817,RNA,model_prediction,True
214,CD8_CTL__TSC22D3,CD8_CTL,TSC22D3,-0.3624685518268264,0.3624685518268264,RNA,model_prediction,True
215,cMono__UBC,cMono,UBC,-0.3624441902725359,0.3624441902725359,RNA,model_prediction,True
216,immature_T__ATP5F1E,immature_T,ATP5F1E,-0.3624157345658129,0.3624157345658129,RNA,model_prediction,True
217,CD4_Naïve__SATB1,CD4_Naïve,SATB1,-0.3622131914039432,0.3622131914039432,RNA,model_prediction,True
218,DC__LEF1,DC,LEF1,-0.3621031328881419,0.3621031328881419,RNA,model_prediction,True
219,cMono__C19orf38,cMono,C19orf38,-0.3620845592016324,0.3620845592016324,RNA,model_prediction,True
220,CD4_Naïve__TSC22D3,CD4_Naïve,TSC22D3,-0.3616265260879611,0.3616265260879611,RNA,model_prediction,True
221,DC__ATF6B,DC,ATF6B,-0.3615024451994957,0.3615024451994957,RNA,model_prediction,True
222,cMono__CBLB,cMono,CBLB,-0.3614769169309578,0.3614769169309578,RNA,model_prediction,True
223,Naïve_B__TNFRSF13B,Naïve_B,TNFRSF13B,0.3614495450116654,0.3614495450116654,RNA,model_prediction,True
224,CD4_Treg__HIF1A,CD4_Treg,HIF1A,-0.3614468119260906,0.3614468119260906,RNA,model_prediction,True
225,CD8_Tem__ISCU,CD8_Tem,ISCU,-0.3605821787473008,0.3605821787473008,RNA,model_prediction,True
226,CD8_Tem__SF3B1,CD8_Tem,SF3B1,-0.3602776694368811,0.3602776694368811,RNA,model_prediction,True
227,CD4_Treg__ARID5B,CD4_Treg,ARID5B,0.3601964789329463,0.3601964789329463,RNA,model_prediction,True
228,CD8_Tem__GOLGA8B,CD8_Tem,GOLGA8B,-0.3600848129614648,0.3600848129614648,RNA,model_prediction,True
229,CD8_CTL__DDX39B,CD8_CTL,DDX39B,-0.3596040589617199,0.3596040589617199,RNA,model_prediction,True
230,CD4_Tcm__UQCRB,CD4_Tcm,UQCRB,-0.3592671061075336,0.3592671061075336,RNA,model_prediction,True
231,cMono__MAPK8IP3,cMono,MAPK8IP3,-0.3592091698484222,0.3592091698484222,RNA,model_prediction,True
232,CD4_Naïve__SMARCA5,CD4_Naïve,SMARCA5,0.3591835078806983,0.3591835078806983,RNA,model_prediction,True
233,DC__PIK3IP1,DC,PIK3IP1,-0.3589355045054549,0.3589355045054549,RNA,model_prediction,True
234,CD4_Naïve__CACHD1,CD4_Naïve,CACHD1,-0.3588994550098529,0.3588994550098529,RNA,model_prediction,True
235,Transit.NK__CRIP1,Transit.NK,CRIP1,0.3588919777048513,0.3588919777048513,RNA,model_prediction,True
